film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,category_id
1,ACADEMY DINOSAUR,A EPIC DRAMA OF A FEMINIST AND A MAD SCIENTIST WHO MUST BATTLE A TEACHER IN THE CANADIAN ROCKIES,2006,1,7,6,0.99,86,20.99,PG,6
2,ACE GOLDFINGER,A ASTOUNDING EPISTLE OF A DATABASE ADMINISTRATOR AND A EXPLORER WHO MUST FIND A CAR IN ANCIENT CHINA,2006,1,7,3,4.99,48,12.99,G,11
3,ADAPTATION HOLES,A ASTOUNDING REFLECTION OF A LUMBERJACK AND A CAR WHO MUST SINK A LUMBERJACK IN A BALOON FACTORY,2006,1,7,7,2.99,50,18.99,NC-17,6
4,AFFAIR PREJUDICE,A FANCIFUL DOCUMENTARY OF A FRISBEE AND A LUMBERJACK WHO MUST CHASE A MONKEY IN A SHARK TANK,2006,1,7,5,2.99,117,26.99,G,17
5,AFRICAN EGG,A FAST-PACED DOCUMENTARY OF A PASTRY CHEF AND A DENTIST WHO MUST PURSUE A FORENSIC PSYCHOLOGIST IN THE GULF OF MEXICO,2006,1,7,6,2.99,130,22.99,G,17
6,AGENT TRUMAN,A INTREPID PANORAMA OF A ROBOT AND A BOY WHO MUST ESCAPE A SUMO WRESTLER IN ANCIENT CHINA,2006,1,7,3,2.99,169,17.99,PG,9
7,AIRPLANE SIERRA,A TOUCHING SAGA OF A HUNTER AND A BUTLER WHO MUST DISCOVER A BUTLER IN A JET BOAT,2006,1,7,6,4.99,62,28.99,PG-13,17
8,AIRPORT POLLOCK,A EPIC TALE OF A MOOSE AND A GIRL WHO MUST CONFRONT A MONKEY IN ANCIENT INDIA,2006,1,7,6,4.99,54,15.99,R,17
9,ALABAMA DEVIL,A THOUGHTFUL PANORAMA OF A DATABASE ADMINISTRATOR AND A MAD SCIENTIST WHO MUST OUTGUN A MAD SCIENTIST IN A JET BOAT,2006,1,7,3,2.99,114,21.99,PG-13,11
10,ALADDIN CALENDAR,A ACTION-PACKED TALE OF A MAN AND A LUMBERJACK WHO MUST REACH A FEMINIST IN ANCIENT CHINA,2006,1,7,6,4.99,63,24.99,NC-17,15
11,ALAMO VIDEOTAPE,A BORING EPISTLE OF A BUTLER AND A CAT WHO MUST FIGHT A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,6,0.99,126,16.99,G,17
12,ALASKA PHANTOM,A FANCIFUL SAGA OF A HUNTER AND A PASTRY CHEF WHO MUST VANQUISH A BOY IN AUSTRALIA,2006,1,7,6,0.99,136,22.99,PG,12
13,ALI FOREVER,A ACTION-PACKED DRAMA OF A DENTIST AND A CROCODILE WHO MUST BATTLE A FEMINIST IN THE CANADIAN ROCKIES,2006,1,7,4,4.99,150,21.99,PG,17
14,ALICE FANTASIA,A EMOTIONAL DRAMA OF A A SHARK AND A DATABASE ADMINISTRATOR WHO MUST VANQUISH A PIONEER IN SOVIET GEORGIA,2006,1,7,6,0.99,94,23.99,NC-17,4
15,ALIEN CENTER,A BRILLIANT DRAMA OF A CAT AND A MAD SCIENTIST WHO MUST BATTLE A FEMINIST IN A MYSQL CONVENTION,2006,1,7,5,2.99,46,10.99,NC-17,9
16,ALLEY EVOLUTION,A FAST-PACED DRAMA OF A ROBOT AND A COMPOSER WHO MUST BATTLE A ASTRONAUT IN NEW ORLEANS,2006,1,7,6,2.99,180,23.99,NC-17,9
17,ALONE TRIP,A FAST-PACED CHARACTER STUDY OF A COMPOSER AND A DOG WHO MUST OUTGUN A BOAT IN AN ABANDONED FUN HOUSE,2006,1,7,3,0.99,82,14.99,R,12
18,ALTER VICTORY,A THOUGHTFUL DRAMA OF A COMPOSER AND A FEMINIST WHO MUST MEET A SECRET AGENT IN THE CANADIAN ROCKIES,2006,1,7,6,0.99,57,27.99,PG-13,17
19,AMADEUS HOLY,A EMOTIONAL DISPLAY OF A PIONEER AND A TECHNICAL WRITER WHO MUST BATTLE A MAN IN A BALOON,2006,1,7,6,0.99,113,20.99,PG,1
20,AMELIE HELLFIGHTERS,A BORING DRAMA OF A WOMAN AND A SQUIRREL WHO MUST CONQUER A STUDENT IN A BALOON,2006,1,7,4,4.99,79,23.99,R,17
21,AMERICAN CIRCUS,A INSIGHTFUL DRAMA OF A GIRL AND A ASTRONAUT WHO MUST FACE A DATABASE ADMINISTRATOR IN A SHARK TANK,2006,1,7,3,4.99,129,17.99,R,1
