actor_id,first_name,last_name
1,Penelope,Guiness
2,Nick,Wahlberg
3,Ed,Chase
4,Jennifer,Davis
5,Johnny,Lollobrigida
6,Bette,Nicholson
7,Grace,Mostel
8,Matthew,Johansson
9,Joe,Swank
10,Christian,Gable
11,Zero,Cage
12,Karl,Berry
13,Uma,Wood
14,Vivien,Bergen
15,Cuba,Olivier
16,Fred,Costner
17,Helen,Voight
18,Dan,Torn
19,Bob,Fawcett
20,Lucille,Tracy
21,Kirsten,Paltrow
22,Elvis,Marx
23,Sandra,Kilmer
24,Cameron,Streep
25,Kevin,Bloom
26,Rip,Crawford
27,Julia,Mcqueen
28,Woody,Hoffman
29,Alec,Wayne
30,Sandra,Peck
31,Sissy,Sobieski
32,Tim,Hackman
33,Milla,Peck
34,Audrey,Olivier
35,Judy,Dean
36,Burt,Dukakis
37,Val,Bolger
38,Tom,Mckellen
39,Goldie,Brody
40,Johnny,Cage
41,Jodie,Degeneres
42,Tom,Miranda
43,Kirk,Jovovich
44,Nick,Stallone
45,Reese,Kilmer
46,Parker,Goldberg
47,Julia,Barrymore
48,Frances,Day-lewis
49,Anne,Cronyn
50,Natalie,Hopkins
51,Gary,Phoenix
52,Carmen,Hunt
53,Mena,Temple
54,Penelope,Pinkett
55,Fay,Kilmer
56,Dan,Harris
57,Jude,Cruise
58,Christian,Akroyd
59,Dustin,Tautou
60,Henry,Berry
61,Christian,Neeson
62,Jayne,Neeson
63,Cameron,Wray
64,Ray,Johansson
65,Angela,Hudson
66,Mary,Tandy
67,Jessica,Bailey
68,Rip,Winslet
69,Kenneth,Paltrow
70,Michelle,Mcconaughey
71,Adam,Grant
72,Sean,Williams
73,Gary,Penn
74,Milla,Keitel
75,Burt,Posey
76,Angelina,Astaire
77,Cary,Mcconaughey
78,Groucho,Sinatra
79,Mae,Hoffman
80,Ralph,Cruz
81,Scarlett,Damon
82,Woody,Jolie
83,Ben,Willis
84,James,Pitt
85,Minnie,Zellweger
86,Greg,Chaplin
87,Spencer,Peck
88,Kenneth,Pesci
89,Charlize,Dench
90,Sean,Guiness
91,Christopher,Berry
92,Kirsten,Akroyd
93,Ellen,Presley
