film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,category_id,price
1,ACADEMY DINOSAUR,A EPIC DRAMA OF A FEMINIST AND A MAD SCIENTIST WHO MUST BATTLE A TEACHER IN THE CANADIAN ROCKIES,2006,1,7,6,2.5,86,21.99,PG,6,7
2,ACE GOLDFINGER,A ASTOUNDING EPISTLE OF A DATABASE ADMINISTRATOR AND A EXPLORER WHO MUST FIND A CAR IN ANCIENT CHINA,2006,1,7,3,2.5,48,17.99,G,11,8
3,ADAPTATION HOLES,A ASTOUNDING REFLECTION OF A LUMBERJACK AND A CAR WHO MUST SINK A LUMBERJACK IN A BALOON FACTORY,2006,1,7,7,4.99,50,4.99,NC-17,6,7
4,AFFAIR PREJUDICE,A FANCIFUL DOCUMENTARY OF A FRISBEE AND A LUMBERJACK WHO MUST CHASE A MONKEY IN A SHARK TANK,2006,1,7,5,1.99,117,16.99,G,17,7
5,AFRICAN EGG,A FAST-PACED DOCUMENTARY OF A PASTRY CHEF AND A DENTIST WHO MUST PURSUE A FORENSIC PSYCHOLOGIST IN THE GULF OF MEXICO,2006,1,7,6,2.99,130,6.99,G,17,12
6,AGENT TRUMAN,A INTREPID PANORAMA OF A ROBOT AND A BOY WHO MUST ESCAPE A SUMO WRESTLER IN ANCIENT CHINA,2006,1,7,3,2.5,169,29.99,PG,9,12
7,AIRPLANE SIERRA,A TOUCHING SAGA OF A HUNTER AND A BUTLER WHO MUST DISCOVER A BUTLER IN A JET BOAT,2006,1,7,6,3.5,62,12.99,PG-13,17,3
8,AIRPORT POLLOCK,A EPIC TALE OF A MOOSE AND A GIRL WHO MUST CONFRONT A MONKEY IN ANCIENT INDIA,2006,1,7,6,2.99,54,18.99,R,17,9
9,ALABAMA DEVIL,A THOUGHTFUL PANORAMA OF A DATABASE ADMINISTRATOR AND A MAD SCIENTIST WHO MUST OUTGUN A MAD SCIENTIST IN A JET BOAT,2006,1,7,3,2.99,114,23.99,PG-13,11,3
10,ALADDIN CALENDAR,A ACTION-PACKED TALE OF A MAN AND A LUMBERJACK WHO MUST REACH A FEMINIST IN ANCIENT CHINA,2006,1,7,6,4.99,63,17.99,NC-17,15,12
11,ALAMO VIDEOTAPE,A BORING EPISTLE OF A BUTLER AND A CAT WHO MUST FIGHT A PASTRY CHEF IN A MYSQL CONVENTION,2006,1,7,6,3.5,126,26.99,G,17,9
12,ALASKA PHANTOM,A FANCIFUL SAGA OF A HUNTER AND A PASTRY CHEF WHO MUST VANQUISH A BOY IN AUSTRALIA,2006,1,7,6,4.99,136,4.99,PG,12,9
