rental_id,film_id
1,1305
1,1335
1,844
2,1366
3,259
4,41
4,537
5,647
6,79
6,335
7,1344
7,459
8,1470
9,1391
10,496
10,1119
10,35
11,386
12,21
13,689
13,864
14,55
15,714
15,57
16,658
16,255
17,1373
18,275
18,537
18,774
19,991
19,1244
20,1403
21,190
22,1156
23,1061
24,337
24,282
25,1483
25,712
25,920
26,1160
26,1111
27,1257
28,808
29,65
29,1297
30,1193
30,1497
30,703
31,1409
31,74
31,124
32,1350
32,995
32,340
33,1454
34,72
34,1201
35,245
35,613
36,1273
37,559
38,994
38,679
38,201
39,1221
40,367
41,1379
41,1085
41,211
42,951
42,678
42,1283
43,780
43,643
44,1480
45,708
45,598
46,973
46,464
47,706
48,1450
48,1081
49,25
49,270
50,1264
51,71
52,196
52,1448
52,154
53,1183
53,214
53,302
54,605
54,864
54,1445
55,251
56,623
56,94
57,755
58,1045
58,794
59,377
60,786
60,1065
60,423
61,147
62,1278
63,910
64,15
64,917
64,280
65,1088
65,771
66,923
67,488
68,526
69,473
70,935
70,944
70,229
71,712
71,1401
71,978
72,92
72,349
73,1469
74,1215
74,1188
75,1245
75,118
75,1432
76,430
77,300
77,558
78,931
79,673
80,527
80,1213
81,35
81,274
82,638
82,1437
82,527
83,136
83,557
83,200
84,910
84,189
85,1230
85,489
86,502
86,723
87,190
87,740
87,639
88,104
88,170
89,1251
89,494
89,712
90,919
90,1022
91,287
91,153
92,409
92,603
93,993
94,897
94,684
95,399
95,453
95,147
96,443
96,1354
96,825
97,123
98,1383
98,691
98,1361
99,1395
100,806
100,49
101,464
101,102
102,746
103,628
104,1474
105,1280
105,922
105,987
106,1323
106,89
106,636
107,518
107,540
108,1344
109,929
109,582
110,964
110,1171
110,983
111,1095
112,952
112,1271
112,654
113,172
114,638
115,551
115,1296
116,1427
116,517
117,525
117,47
118,1210
119,531
119,914
120,624
120,331
120,424
121,644
121,83
121,970
122,588
122,4
123,880
123,110
124,991
124,533
125,710
125,256
125,780
126,1172
127,237
128,395
128,941
128,420
129,1081
129,518
129,1435
130,427
130,1496
130,957
131,1243
131,92
131,515
132,470
132,268
132,530
133,200
133,1075
134,138
134,843
134,455
135,1233
135,791
136,1009
136,1272
136,980
137,586
137,357
137,927
138,720
138,1369
139,1474
139,974
139,1185
140,622
140,123
141,151
142,1374
142,533
143,276
143,249
143,1160
144,1086
144,82
144,1037
145,153
145,760
146,1331
147,265
147,652
148,514
149,888
149,204
149,938
150,264
150,31
151,995
151,686
152,1473
152,751
152,1049
153,181
153,1375
154,448
154,825
154,956
155,804
155,957
156,755
157,1347
157,1106
158,1210
159,645
159,574
159,1334
160,632
160,1347
160,239
161,720
162,993
162,1486
162,1127
163,562
164,394
165,174
165,1296
165,704
166,699
166,1468
167,25
167,645
168,451
168,330
169,271
170,105
170,376
170,1358
171,367
171,1420
172,1060
172,1279
173,1308
173,1242
174,218
175,1011
175,88
176,870
176,355
176,30
177,46
177,1172
178,398
179,1327
179,1051
179,1084
180,414
181,1308
181,624
182,838
182,813
183,1092
183,1197
184,1202
185,1375
185,826
185,457
186,189
186,209
187,654
188,122
188,199
188,810
189,451
189,289
190,1339
190,1289
190,673
191,1249
191,850
191,245
192,122
192,1491
192,1411
193,1399
194,155
195,366
195,236
195,1073
196,1257
196,1292
196,148
197,569
198,950
199,944
199,655
200,558
201,897
201,208
202,164
202,629
202,374
203,1312
203,1123
204,1152
204,415
204,711
205,449
205,158
205,1236
206,160
206,908
207,1107
208,58
209,447
209,715
209,547
210,1070
211,1019
212,406
212,1397
212,342
213,411
213,711
213,795
214,1426
215,537
215,998
215,675
216,1084
217,1005
217,974
218,685
219,467
219,1125
219,949
220,1433
220,1061
220,992
221,24
221,442
221,59
222,874
222,301
223,698
223,897
223,1345
224,355
224,412
225,67
226,1042
226,801
227,1309
227,1328
228,368
228,358
228,1021
229,132
230,1480
231,1480
231,1336
232,1244
233,925
233,881
233,537
234,334
234,984
235,916
235,869
235,1170
236,1486
237,147
237,715
237,735
238,1025
238,516
238,1185
239,909
239,1009
239,362
240,817
240,568
240,1285
241,1287
242,982
242,295
242,1462
243,383
244,1007
245,1403
246,676
246,994
246,371
247,86
247,966
247,1159
248,363
249,279
249,1299
249,136
250,852
251,95
251,1209
251,583
252,789
253,128
254,359
255,513
255,805
255,126
256,129
256,340
256,1329
257,331
257,906
258,282
258,78
259,659
260,529
260,348
260,42
261,88
261,534
262,380
263,774
263,153
264,1441
264,1030
264,244
265,75
266,156
267,1297
267,704
267,635
268,1395
269,661
269,392
269,932
270,497
270,801
270,52
271,446
271,79
271,744
272,513
272,1166
273,1105
274,1067
275,955
275,959
276,166
276,1209
277,509
277,335
277,712
278,1378
278,818
278,1411
279,1104
279,1035
279,84
280,946
280,1222
280,249
281,913
282,994
283,284
283,148
284,391
285,1490
285,961
286,689
287,380
287,734
287,1151
288,158
289,1071
289,1484
290,1462
291,612
291,1411
292,243
292,777
293,126
293,897
293,1076
294,740
295,212
295,785
296,594
296,402
296,384
297,733
297,772
297,516
298,203
298,291
298,827
299,1073
299,596
300,347
300,424
301,1082
301,649
302,197
303,956
304,1326
304,1456
305,442
305,1448
306,552
306,656
306,407
307,210
307,1251
308,1242
308,352
308,913
309,1161
309,796
309,176
310,994
310,435
310,10
311,222
311,611
312,1388
312,1307
312,1485
313,919
313,367
313,1036
314,1002
314,379
314,1479
315,357
315,1456
316,612
316,1479
316,9
317,362
317,383
317,617
318,633
318,1395
319,1020
319,498
320,1319
320,1089
320,145
321,1075
322,935
322,287
323,984
324,14
325,304
326,513
326,732
327,293
327,1163
327,1026
328,821
328,450
329,805
329,1393
330,202
330,1480
331,631
331,891
331,678
332,1207
332,1065
333,501
333,871
333,1039
334,534
334,1116
335,926
335,669
335,655
336,1115
336,618
337,145
337,1454
338,200
338,439
339,1379
339,457
339,1341
340,293
341,1223
341,1430
341,1240
342,834
342,708
342,1072
343,230
343,833
343,1181
344,797
344,571
345,953
345,56
345,544
346,537
347,46
348,705
348,1152
348,651
349,8
349,1089
349,1252
350,258
350,1465
350,1469
351,668
351,522
351,235
352,1281
352,712
352,1269
353,394
353,636
353,1185
354,1427
354,1129
354,1499
355,1304
355,609
355,1191
356,500
356,1354
357,676
357,389
358,1156
358,495
359,502
359,1115
360,824
360,1416
360,1125
361,1151
362,1424
362,508
363,230
364,1133
364,1144
365,303
366,596
366,832
366,1408
367,1312
367,606
367,1195
368,588
369,1471
369,274
369,1390
370,875
370,839
371,1018
371,1460
372,1091
373,300
373,1497
374,203
374,786
375,1278
375,1248
376,808
376,123
376,1012
377,855
377,126
377,196
378,1348
378,1298
379,776
379,711
379,176
380,889
381,1198
381,860
381,394
382,244
382,447
383,622
383,1391
383,1082
384,668
385,1086
385,1242
385,511
386,1483
386,1314
386,943
387,1248
387,1475
388,140
389,731
389,1302
389,1322
390,1036
390,1084
390,776
391,277
392,253
392,210
392,864
393,1329
394,539
395,1437
395,315
396,1402
397,1286
397,616
397,680
398,195
398,1276
399,193
399,1243
399,1076
400,816
401,664
401,387
402,774
402,1389
403,175
404,241
404,695
405,725
405,43
406,1075
407,1427
408,945
408,114
409,1235
410,463
411,184
411,657
412,352
413,713
413,371
413,1083
414,745
414,569
415,983
415,249
415,296
416,561
416,1086
416,1106
417,1126
418,458
418,1015
419,179
419,479
420,199
420,243
421,1426
421,1099
421,1430
422,1147
422,962
423,193
423,1191
423,1221
424,530
425,1137
426,748
427,1433
427,195
427,339
428,1190
428,686
428,867
429,529
430,230
430,1393
430,622
431,689
432,1259
432,815
433,934
434,1019
434,662
435,329
436,332
436,525
436,39
437,1348
437,974
437,1468
438,74
438,1344
439,831
440,125
440,502
440,341
441,1008
442,474
442,105
443,432
444,69
445,200
445,348
445,266
446,231
446,1371
446,1326
447,128
448,1159
449,8
449,1443
449,396
450,1094
451,493
452,998
452,142
452,811
453,271
453,941
454,117
455,20
455,53
455,695
456,413
456,62
456,153
457,546
458,418
458,933
458,59
459,1368
459,1285
460,1302
460,788
460,1337
461,782
461,381
462,1094
462,707
463,1065
463,328
463,452
464,251
464,758
464,1107
465,484
466,340
466,288
466,730
467,340
468,123
469,1093
470,483
470,627
471,831
472,209
473,511
474,1041
474,1256
474,1213
475,332
476,967
476,822
476,618
477,550
478,1364
479,1422
479,700
480,869
481,26
482,593
482,1083
482,88
483,431
483,488
483,52
484,644
484,1011
485,769
485,557
485,679
486,1441
486,778
486,1073
487,759
488,1082
489,352
489,947
490,506
491,594
492,916
493,653
493,1033
493,417
494,141
495,204
495,681
495,529
496,933
497,921
498,255
499,341
500,717
500,559
501,586
501,293
501,280
502,475
502,441
503,158
503,686
503,48
504,190
504,893
504,208
505,170
505,429
505,1255
506,103
506,249
506,1200
507,228
507,1353
508,867
508,656
509,1089
509,930
510,1255
510,171
510,179
511,266
511,489
512,1044
513,281
514,818
514,174
514,96
515,1047
515,528
515,377
516,845
516,108
516,1075
517,860
517,772
518,1461
518,1208
519,275
520,330
520,868
520,943
521,1344
521,696
521,959
522,549
522,1135
522,386
523,281
524,1152
525,574
526,20
527,300
527,1329
528,218
528,945
528,1022
529,762
529,846
529,1481
530,1060
531,807
532,1381
532,1154
533,926
534,151
534,1482
534,51
535,923
535,930
536,1349
537,496
537,1161
537,1003
538,63
539,157
539,138
539,992
540,308
540,274
541,1384
542,301
543,569
543,769
543,1407
544,1349
544,1168
544,700
545,1335
545,1208
546,225
546,312
546,913
547,1081
547,1348
547,410
548,961
549,120
550,1384
550,342
551,520
551,1300
551,1283
552,791
552,5
552,739
553,326
553,205
554,1178
555,767
556,1239
557,727
558,660
559,547
560,942
560,766
561,341
561,210
562,307
563,895
563,21
564,1476
564,1134
564,1431
565,1148
566,1391
566,1107
566,1325
567,1355
568,1227
568,174
568,1425
569,580
569,193
569,113
570,1294
570,1102
571,218
571,1370
572,692
572,454
573,613
573,1404
573,864
574,607
575,646
575,1292
576,967
576,147
577,1308
577,288
577,283
578,755
578,241
579,912
579,564
580,612
580,1338
580,614
581,1121
581,1160
582,627
582,423
582,1371
583,1292
583,227
584,1253
585,617
585,857
586,124
587,210
587,671
588,387
589,197
589,1351
590,1243
590,788
591,1050
592,902
592,171
593,122
594,756
594,1074
594,899
595,726
595,744
595,886
596,260
597,288
598,227
598,452
598,353
599,704
599,21
599,379
600,763
600,966
601,227
601,442
602,213
602,694
602,132
603,19
603,1471
604,419
605,1104
605,204
606,1009
607,1141
607,1246
608,397
609,870
609,630
609,713
610,114
610,872
610,389
611,529
611,51
611,484
612,523
612,762
612,447
613,945
613,272
613,903
614,714
614,1268
614,1007
615,1457
615,964
616,1262
616,116
616,1412
617,1289
617,174
617,1470
618,901
619,1179
619,1043
620,1278
620,375
621,1210
622,24
623,526
623,434
624,1074
624,1380
625,622
625,143
626,1436
626,900
626,1163
627,461
627,847
627,560
628,511
629,762
629,1271
630,431
630,2
630,94
631,49
632,1277
632,707
633,880
634,556
635,474
635,1490
635,350
636,247
636,215
636,151
637,1264
638,193
638,1206
638,449
639,1216
639,568
639,1159
640,489
640,1014
641,1131
642,543
642,861
642,999
643,1303
644,1005
644,345
645,876
645,989
645,1334
646,102
646,596
647,514
647,446
647,534
648,216
649,1331
649,53
649,556
650,671
650,539
651,792
651,266
652,1223
652,1394
652,310
653,1455
653,399
654,474
654,1381
655,750
656,1073
657,1367
657,1012
658,480
659,870
659,464
659,1143
660,892
660,928
661,756
661,146
662,1450
663,54
663,29
663,1374
664,1373
664,789
664,1180
665,1419
665,45
666,220
667,106
668,1085
668,1456
669,819
670,1284
670,387
670,807
671,250
671,118
672,1385
672,800
673,906
673,1030
674,1487
674,152
674,1473
675,1106
676,665
676,483
677,126
677,1297
677,905
678,829
678,1
679,889
679,1051
679,316
680,264
680,1322
681,301
681,1054
682,255
682,109
683,1456
683,417
684,831
685,1420
686,1282
686,483
687,138
688,29
689,1035
689,1287
690,640
690,363
690,586
691,677
692,1392
692,1493
693,47
693,230
693,1200
694,259
695,948
695,1071
696,433
697,164
697,298
698,1343
698,642
698,940
699,823
699,1139
699,1482
700,1424
700,759
700,231
701,571
701,151
701,996
702,695
702,1409
702,307
703,174
703,1372
704,960
705,49
705,1166
706,696
707,369
708,576
708,360
708,871
709,451
710,1197
711,214
712,1080
712,566
712,642
713,1034
713,892
713,413
714,1164
714,548
715,1070
715,256
716,163
716,1213
717,389
717,222
718,1163
718,1332
719,173
719,67
719,1318
720,1014
721,325
722,1474
722,1417
722,933
723,1417
723,1175
723,572
724,834
725,532
725,13
726,850
726,784
726,365
727,367
727,1245
728,360
728,247
729,938
730,1163
730,427
731,217
731,1400
732,1246
732,1414
733,1438
734,446
735,87
735,1425
735,998
736,114
736,973
736,1246
737,163
737,1058
737,46
738,877
738,1032
738,546
739,50
739,847
740,310
741,1162
741,716
742,412
742,457
742,916
743,211
744,634
744,703
744,270
745,354
746,505
746,834
747,656
747,305
747,936
748,1045
748,246
749,850
750,257
750,1297
750,703
751,252
751,365
751,1370
752,1365
753,585
753,179
753,1413
754,1004
754,205
754,1069
755,1469
755,1404
756,1467
756,519
756,1320
757,729
757,1414
757,1128
758,1414
759,216
760,318
760,1270
761,1467
762,1080
763,1411
763,152
763,888
764,379
764,576
765,30
765,586
765,1294
766,213
766,717
766,1351
767,71
767,1168
768,262
769,1060
770,601
771,21
771,151
771,233
772,1274
773,111
773,1487
773,277
774,492
774,760
774,1470
775,638
776,1300
777,171
778,286
779,494
779,481
780,1148
781,874
781,1485
782,1429
783,16
783,616
783,920
784,115
784,1344
784,1446
785,305
785,656
786,123
786,998
786,273
787,1247
787,716
787,1370
788,711
788,61
788,53
789,69
789,250
790,204
790,502
791,1187
791,1393
791,1089
792,548
792,1317
792,1130
793,773
793,889
793,95
794,1471
795,757
795,431
796,263
796,519
797,680
797,145
798,305
799,1434
799,872
799,989
800,1240
800,106
801,1159
802,717
802,1087
802,1317
803,22
803,935
804,449
804,1157
805,792
805,1178
805,1129
806,510
806,75
806,836
807,328
807,186
807,904
808,924
809,1099
809,419
810,1441
810,1446
811,1419
811,1064
812,279
813,531
813,925
814,961
815,1322
815,411
815,1475
816,471
816,1069
816,971
817,440
817,302
818,796
818,1138
818,881
819,1249
820,368
820,719
820,497
821,172
821,894
821,1406
822,102
822,1371
823,603
824,1042
824,503
824,882
825,1372
826,1081
826,1113
827,28
828,1398
829,816
829,1227
829,714
830,1398
830,903
831,1315
832,739
832,1418
832,839
833,929
833,636
834,1348
834,1160
835,847
835,860
835,1457
836,20
837,1284
837,1031
837,1133
838,1465
838,26
839,568
840,367
840,426
840,474
841,114
841,1045
842,634
843,151
843,80
843,856
844,677
844,196
845,1288
845,1124
846,1349
847,725
847,755
847,946
848,1086
849,1053
850,335
850,110
850,409
851,866
851,990
851,684
852,597
852,1354
853,1309
853,1272
853,995
854,1122
854,1087
854,273
855,833
856,194
856,1457
856,933
857,750
858,1295
859,435
859,1115
859,1157
860,1452
861,653
861,385
861,1440
862,796
862,1102
862,390
863,1345
864,1195
865,1463
865,1134
866,922
866,223
866,1246
867,1244
867,1147
867,1345
868,1204
869,477
870,10
871,1393
872,982
872,297
873,1022
873,151
874,144
875,789
876,495
876,558
876,925
877,371
877,464
877,893
878,270
878,67
878,338
879,1493
880,801
881,998
881,706
881,1236
882,1347
882,1232
882,783
883,916
883,208
883,1423
884,482
884,313
884,362
885,1291
885,264
886,21
886,1385
887,631
888,393
889,717
889,335
